Student_ID,Date,Subject,Topic,Study_Duration_Min,Difficulty_1_5,Study_Method,Initial_Score,Revision_Count,Days_Since_Study,Later_Score,Focus_Level_1_5,Retention_Score,Retention_Risk
S00957,2026-05-18,Python,Variables,72,3,Flashcards,95.3,1,2,87.8,5,92.1,Low
S00781,2026-06-21,C,Functions,72,1,Video,86.5,1,10,85.4,4,98.7,Low
S02945,2026-08-06,IoT,Actuators,54,1,Reading,83.5,2,1,82.3,3,98.6,Low
S02645,2026-01-19,Deep Learning,Regularization,66,2,Mixed,82.4,1,7,75.9,4,92.1,Low
S05520,2026-01-27,Agile,Testing,42,4,Reading,75.2,1,3,75.5,3,100.0,Low
S06869,2026-03-16,IoT,Sensors,48,3,Video,68.6,2,3,72.3,3,100.0,Low
S04328,2026-08-28,Deep Learning,CNN,58,4,Mixed,81.0,0,2,79.5,3,98.2,Low
S01005,2026-04-04,IoT,Protocols,46,3,Reading,76.0,0,5,66.7,4,87.8,Medium
S09111,2026-07-14,Agile,Development,15,3,Practice,49.4,2,3,56.6,3,100.0,Low
S04042,2026-01-16,Python,Dictionaries,47,5,Mixed,43.0,2,10,36.2,5,84.2,Medium
S01251,2026-04-11,DBMS,Normalization,67,1,Mixed,73.9,1,3,80.6,4,100.0,Low
S09130,2026-01-23,Agile,Planning,17,5,Practice,32.2,1,10,20.5,4,63.5,High
S04112,2026-03-29,DBMS,Normalization,19,5,Mixed,75.9,3,2,80.3,4,100.0,Low
S03849,2026-04-25,Python,Dictionaries,52,3,Practice,70.2,1,3,74.0,3,100.0,Low
S03786,2026-04-01,Deep Learning,Neural Networks,55,4,Reading,62.5,0,5,48.9,2,78.3,Medium
S00893,2026-06-29,Python,Dictionaries,24,5,Practice,60.8,0,2,44.7,3,73.5,High
S09580,2026-02-15,C,Pointers,69,2,Flashcards,77.3,1,21,60.2,3,77.8,Medium
S09999,2026-03-25,Python,Variables,30,3,Video,70.0,0,5,57.5,4,82.1,Medium
S06916,2026-04-09,Python,Functions,70,2,Reading,73.4,2,7,73.2,4,99.7,Low
S04459,2026-05-30,Deep Learning,RNN,52,2,Flashcards,75.2,3,7,77.2,5,100.0,Low
S05996,2026-02-18,Deep Learning,Neural Networks,39,2,Mixed,67.4,0,3,61.3,2,91.0,Low
S02629,2026-08-04,Agile,Planning,33,1,Practice,81.8,0,5,82.3,4,100.0,Low
S04445,2026-06-29,DBMS,Transactions,50,2,Flashcards,87.3,1,14,78.5,3,90.0,Medium
S03196,2026-02-28,DBMS,Indexes,32,5,Mixed,71.7,0,7,57.1,4,79.7,Medium
S02111,2026-07-29,C,Pointers,28,5,Mixed,52.3,2,10,43.1,2,82.4,Medium
S08144,2026-03-25,C,Arrays,31,2,Practice,72.3,3,14,70.5,3,97.6,Low
S06027,2026-07-20,DBMS,ER Model,27,5,Mixed,69.7,0,10,54.4,4,78.1,Medium
S01734,2026-06-11,Python,Functions,29,3,Practice,63.3,3,5,66.1,3,100.0,Low
S00250,2026-01-11,Deep Learning,RNN,39,2,Reading,61.0,1,3,60.2,3,98.7,Low
S03254,2026-01-28,DBMS,Normalization,65,3,Practice,70.8,1,5,68.2,4,96.3,Low
S09871,2026-06-16,Python,Functions,37,4,Practice,65.0,2,1,62.7,3,96.5,Low
S06665,2026-04-03,DBMS,SQL,48,3,Mixed,68.5,2,7,63.8,3,93.2,Low
S07730,2026-04-26,Deep Learning,CNN,56,2,Mixed,82.3,0,5,69.6,2,84.5,Medium
S08512,2026-06-14,Agile,Retrospective,68,2,Flashcards,69.4,2,10,67.6,3,97.4,Low
S05988,2026-02-02,DBMS,Normalization,38,2,Practice,82.9,2,3,80.3,3,96.9,Low
S08416,2026-01-24,Deep Learning,Regularization,37,4,Reading,45.5,1,14,28.6,4,62.8,High
S01694,2026-02-18,IoT,MQTT,53,2,Video,71.0,1,1,71.0,3,100.0,Low
S03117,2026-08-18,Agile,Planning,33,5,Practice,48.8,1,3,38.7,3,79.3,Medium
S03661,2026-04-10,IoT,Architecture,23,1,Reading,63.7,1,5,68.3,5,100.0,Low
S07874,2026-04-14,IoT,MQTT,64,1,Practice,69.7,1,21,49.2,3,70.7,High
S04412,2026-05-24,Python,Functions,36,2,Reading,71.6,4,2,85.3,2,100.0,Low
S06456,2026-06-03,Agile,Retrospective,48,5,Flashcards,63.1,0,10,55.9,4,88.7,Medium
S00397,2026-05-03,IoT,Sensors,46,4,Practice,83.0,2,14,69.0,3,83.2,Medium
S00274,2026-05-25,C,Pointers,24,5,Mixed,68.0,0,5,58.7,4,86.3,Medium
S05293,2026-08-09,IoT,Sensors,65,3,Reading,72.1,0,2,71.8,2,99.6,Low
S06833,2026-06-24,Python,Functions,51,5,Practice,53.9,1,7,46.2,2,85.7,Medium
S03140,2026-03-09,C,Strings,59,1,Mixed,91.1,1,3,91.1,2,100.0,Low
S09367,2026-02-16,C,Strings,54,3,Practice,71.1,1,7,59.3,2,83.4,Medium
S02965,2026-05-18,Agile,Requirements,25,3,Practice,66.4,4,3,72.9,3,100.0,Low
S01488,2026-04-11,C,Arrays,25,4,Practice,56.1,0,3,48.3,4,86.2,Medium
S08410,2026-02-25,Agile,Retrospective,59,2,Mixed,88.5,1,3,91.8,3,100.0,Low
S09996,2026-03-03,Python,Variables,54,3,Reading,76.2,1,1,77.2,4,100.0,Low
S04203,2026-07-02,Python,Loops,17,5,Video,70.4,2,3,61.7,3,87.6,Medium
S08660,2026-05-22,IoT,Sensors,53,5,Practice,69.8,1,21,46.3,4,66.3,High
S06378,2026-04-22,C,Structures,71,2,Video,78.5,2,7,75.3,4,95.9,Low
S04914,2026-02-18,IoT,Protocols,51,4,Mixed,70.8,1,14,57.2,5,80.7,Medium
S04049,2026-03-27,DBMS,Indexes,44,3,Practice,71.1,0,2,65.7,3,92.4,Low
S00915,2026-08-20,Deep Learning,Backpropagation,44,4,Video,65.2,2,1,73.3,5,100.0,Low
S03372,2026-04-24,Deep Learning,Regularization,41,5,Mixed,49.9,4,14,41.2,3,82.6,Medium
S00795,2026-05-25,Deep Learning,Regularization,53,1,Reading,79.9,1,3,80.7,2,100.0,Low
S03052,2026-07-29,DBMS,Normalization,61,4,Practice,71.8,2,1,74.4,4,100.0,Low
S00469,2026-03-22,C,Functions,56,1,Practice,90.3,1,10,85.3,4,94.5,Low
S05521,2026-03-08,Python,Loops,63,2,Practice,72.8,0,3,69.1,2,94.9,Low
S06454,2026-02-13,Python,Lists,25,4,Mixed,58.2,3,5,53.7,4,92.2,Low
S03448,2026-07-18,Python,Lists,45,2,Practice,62.7,0,2,65.1,2,100.0,Low
S09253,2026-07-27,DBMS,Indexes,51,5,Mixed,52.8,3,14,42.7,3,80.9,Medium
S05872,2026-05-30,Python,Dictionaries,65,3,Mixed,69.5,3,7,73.2,4,100.0,Low
S06636,2026-05-13,Deep Learning,RNN,33,4,Flashcards,77.7,1,5,66.2,3,85.2,Medium
S08177,2026-02-27,DBMS,Indexes,60,1,Reading,85.4,0,5,77.0,3,90.1,Low
S09103,2026-08-08,C,Structures,59,2,Reading,69.0,0,5,62.9,1,91.1,Low
S05930,2026-07-06,Agile,Requirements,50,4,Flashcards,64.6,1,10,50.9,3,78.7,Medium
S04359,2026-07-31,Python,Variables,56,3,Practice,70.4,1,3,71.2,3,100.0,Low
S07364,2026-04-01,Python,Functions,32,5,Reading,72.3,0,3,58.7,5,81.3,Medium
S09525,2026-05-24,DBMS,ER Model,33,5,Flashcards,62.5,0,21,39.9,3,63.8,High
S06857,2026-03-08,C,Functions,58,2,Mixed,63.3,1,3,61.4,4,96.9,Low
S05964,2026-07-24,Python,Dictionaries,61,5,Reading,72.9,1,3,68.3,3,93.7,Low
S05613,2026-05-25,Deep Learning,Neural Networks,81,1,Mixed,88.8,3,2,99.0,4,100.0,Low
S02185,2026-07-24,C,Strings,26,4,Practice,69.7,2,5,68.6,5,98.4,Low
S06546,2026-06-11,C,Functions,26,5,Reading,57.8,3,5,49.8,4,86.2,Medium
S06099,2026-07-16,Agile,Testing,39,4,Practice,66.4,1,2,68.8,3,100.0,Low
S00959,2026-08-17,C,Structures,29,5,Practice,71.4,0,5,64.0,4,89.6,Medium
S00995,2026-06-27,Agile,Development,25,1,Mixed,78.6,3,10,77.9,3,99.2,Low
S05804,2026-06-06,Python,Dictionaries,58,3,Mixed,77.3,1,1,80.8,4,100.0,Low
S05055,2026-08-09,Agile,Planning,63,5,Practice,40.3,1,21,15.2,2,37.7,High
S00718,2026-03-05,IoT,Architecture,21,3,Practice,88.6,1,7,86.9,4,98.1,Low
S06234,2026-04-11,Python,Functions,48,4,Reading,72.8,3,5,76.5,3,100.0,Low
S02556,2026-03-29,Python,Lists,38,2,Practice,73.6,0,2,67.5,2,91.7,Low
S05082,2026-01-01,Deep Learning,Neural Networks,25,4,Flashcards,52.2,0,5,38.6,2,73.8,High
S05620,2026-08-07,Agile,Requirements,55,3,Mixed,81.4,3,3,87.0,3,100.0,Low
S04654,2026-07-10,Agile,Retrospective,31,1,Reading,63.6,2,7,63.4,1,99.6,Low
S00073,2026-08-06,Deep Learning,Neural Networks,42,3,Flashcards,65.4,2,2,67.5,3,100.0,Low
S07763,2026-04-18,Deep Learning,CNN,52,2,Flashcards,84.0,2,3,83.4,4,99.3,Low
S00738,2026-07-11,Python,Loops,47,1,Flashcards,81.9,0,21,69.8,3,85.2,Medium
S02194,2026-01-15,C,Arrays,27,4,Practice,57.4,0,2,45.5,4,79.2,Medium
S09201,2026-04-01,Python,Dictionaries,16,4,Mixed,64.5,4,5,69.4,3,100.0,Low
S06459,2026-07-31,Deep Learning,Backpropagation,25,5,Mixed,42.6,1,5,38.2,4,89.8,Medium
S02514,2026-07-22,Agile,Testing,59,2,Flashcards,76.6,0,5,70.7,2,92.3,Low
S04993,2026-06-05,IoT,Architecture,39,4,Mixed,61.4,2,14,53.6,4,87.3,Medium
S03377,2026-01-28,IoT,Architecture,68,3,Video,81.0,1,2,79.3,4,98.0,Low
S01902,2026-02-18,DBMS,Indexes,41,5,Reading,67.3,0,7,48.3,3,71.8,High
S01985,2026-06-22,Python,Lists,24,5,Flashcards,74.9,0,5,60.7,4,81.1,Medium
S00180,2026-01-29,IoT,Sensors,58,3,Video,75.5,0,2,73.0,3,96.8,Low
S07222,2026-01-07,DBMS,ER Model,84,1,Reading,92.8,1,2,94.3,3,100.0,Low
S07190,2026-01-31,Python,Lists,64,2,Practice,75.2,4,21,73.8,5,98.1,Low
S09661,2026-04-11,Agile,Retrospective,47,3,Flashcards,52.8,1,3,51.6,4,97.7,Low
S02476,2026-05-05,DBMS,SQL,46,3,Mixed,73.5,2,3,74.1,2,100.0,Low
S06909,2026-05-15,C,Functions,63,2,Reading,66.6,1,2,63.6,2,95.5,Low
S01394,2026-01-10,Python,Functions,49,1,Flashcards,78.1,3,5,79.9,3,100.0,Low
S06234,2026-08-14,DBMS,Transactions,15,3,Flashcards,78.3,1,3,73.3,4,93.6,Low
S05139,2026-08-18,Agile,Development,48,4,Video,50.5,0,2,42.0,2,83.1,Medium
S04052,2026-08-19,Python,Variables,21,2,Reading,66.8,2,5,68.3,3,100.0,Low
S00194,2026-04-04,C,Structures,64,4,Practice,87.2,0,2,82.2,3,94.2,Low
S00723,2026-06-05,Python,Dictionaries,56,4,Reading,81.1,2,10,72.5,5,89.3,Medium
S08140,2026-01-31,DBMS,Normalization,67,2,Practice,93.7,1,10,85.9,3,91.6,Low
S00084,2026-04-26,DBMS,SQL,78,4,Flashcards,68.6,2,7,60.1,5,87.7,Medium
S05231,2026-06-05,Agile,Development,29,5,Mixed,58.9,1,7,49.7,3,84.4,Medium
S03324,2026-03-28,IoT,MQTT,44,4,Video,67.7,1,10,51.6,3,76.2,Medium
S05394,2026-08-01,Python,Loops,49,4,Flashcards,69.7,1,5,66.0,4,94.7,Low
S03830,2026-02-22,C,Strings,54,2,Practice,97.7,1,5,95.6,4,97.8,Low
S03049,2026-02-22,IoT,Protocols,40,1,Flashcards,69.4,3,5,75.0,3,100.0,Low
S09811,2026-06-28,Agile,Testing,49,1,Reading,98.0,1,14,92.0,5,93.9,Low
S08597,2026-05-17,Agile,Requirements,49,1,Practice,91.5,1,2,95.3,5,100.0,Low
S01924,2026-03-25,Python,Variables,36,1,Practice,63.7,1,21,50.3,2,79.1,Medium
S08916,2026-02-15,IoT,Sensors,28,2,Flashcards,81.7,2,3,84.9,4,100.0,Low
S00776,2026-05-03,IoT,Architecture,27,5,Practice,69.3,1,7,65.9,3,95.0,Low
S05144,2026-05-24,Deep Learning,RNN,16,2,Practice,83.7,1,10,75.1,4,89.7,Medium
S00144,2026-03-10,IoT,MQTT,46,3,Reading,79.2,0,7,64.7,2,81.6,Medium
S03590,2026-07-16,Python,Loops,58,4,Practice,74.3,0,2,67.9,4,91.3,Low
S00845,2026-04-13,Python,Variables,22,2,Mixed,74.0,0,3,70.7,4,95.6,Low
S00820,2026-07-26,C,Strings,44,4,Practice,58.1,2,5,56.0,4,96.3,Low
S06396,2026-05-26,IoT,Architecture,41,2,Practice,75.8,0,7,69.1,3,91.2,Low
S09079,2026-04-18,IoT,MQTT,74,2,Practice,77.9,3,2,86.9,2,100.0,Low
S07431,2026-04-14,IoT,MQTT,15,2,Reading,64.5,1,1,59.6,3,92.4,Low
S03738,2026-02-23,IoT,Architecture,49,3,Video,67.0,2,3,71.7,4,100.0,Low
S00169,2026-05-22,Deep Learning,CNN,18,4,Mixed,61.4,4,5,70.7,3,100.0,Low
S07705,2026-05-20,Agile,Testing,35,1,Video,76.1,0,10,71.6,3,94.0,Low
S06260,2026-01-27,Agile,Retrospective,47,5,Video,50.1,4,10,48.7,1,97.2,Low
S06361,2026-07-04,Python,Lists,52,3,Practice,73.7,3,2,83.4,4,100.0,Low
S05965,2026-06-21,Agile,Development,56,1,Flashcards,80.5,0,5,75.0,3,93.2,Low
S06336,2026-02-23,C,Functions,27,1,Video,72.4,0,5,67.5,4,93.1,Low
S06564,2026-02-09,Python,Loops,55,1,Flashcards,90.4,1,7,87.7,4,97.0,Low
S09032,2026-01-17,Python,Dictionaries,50,5,Practice,76.8,2,10,64.7,2,84.2,Medium
S07727,2026-02-03,Python,Dictionaries,44,3,Mixed,75.2,0,3,72.0,4,95.8,Low
S04209,2026-02-17,Agile,Testing,27,5,Flashcards,59.7,3,10,54.1,3,90.7,Low
S01279,2026-05-08,C,Pointers,70,1,Mixed,89.9,2,3,96.1,3,100.0,Low
S00444,2026-03-24,Deep Learning,RNN,41,5,Reading,55.1,3,3,58.2,2,100.0,Low
S07156,2026-07-07,C,Pointers,51,2,Mixed,76.8,3,1,93.8,5,100.0,Low
S07943,2026-01-10,Deep Learning,Backpropagation,40,2,Reading,64.0,1,1,62.9,4,98.3,Low
S00848,2026-04-25,Agile,Planning,49,1,Reading,64.5,3,3,70.0,2,100.0,Low
S09538,2026-05-17,Agile,Retrospective,52,5,Flashcards,55.0,1,14,30.1,3,54.7,High
S07332,2026-06-22,Python,Functions,40,1,Reading,79.9,3,14,77.6,3,97.1,Low
S03967,2026-06-09,Python,Variables,56,2,Reading,76.9,0,5,73.1,3,95.0,Low
S08625,2026-07-22,DBMS,Indexes,62,3,Practice,66.4,2,5,62.0,3,93.3,Low
S08742,2026-03-31,Agile,Testing,43,1,Reading,93.7,1,7,90.6,3,96.7,Low
S05269,2026-07-30,Python,Lists,48,3,Video,63.4,1,2,63.5,3,100.0,Low
S03186,2026-06-05,Deep Learning,CNN,44,5,Mixed,53.0,2,3,43.8,2,82.6,Medium
S02523,2026-05-19,Agile,Requirements,32,1,Mixed,82.3,3,10,89.1,4,100.0,Low
S01170,2026-07-27,C,Pointers,15,3,Reading,67.1,2,2,64.4,3,96.0,Low
S02945,2026-01-10,Deep Learning,Regularization,25,5,Flashcards,63.8,1,2,57.4,2,90.0,Medium
S06262,2026-07-13,Agile,Development,36,4,Practice,82.7,0,3,77.9,3,94.2,Low
S09953,2026-08-09,C,Pointers,24,5,Mixed,70.7,1,7,52.8,3,74.7,High
S07863,2026-03-10,Agile,Testing,63,2,Practice,78.9,0,1,75.4,4,95.6,Low
S09423,2026-02-24,IoT,Sensors,46,1,Practice,97.6,1,2,98.8,2,100.0,Low
S01949,2026-02-26,IoT,Architecture,16,3,Practice,89.9,3,7,90.2,3,100.0,Low
S08826,2026-06-27,IoT,MQTT,34,5,Video,58.2,2,1,55.3,3,95.1,Low
S08067,2026-03-14,Python,Lists,31,3,Practice,88.9,2,2,96.8,4,100.0,Low
S09628,2026-01-17,Python,Lists,36,2,Reading,64.2,1,10,61.8,3,96.3,Low
S01616,2026-07-31,Agile,Development,64,4,Practice,77.3,2,7,68.5,3,88.6,Medium
S01662,2026-08-16,Agile,Development,38,4,Reading,68.5,1,10,56.0,2,81.8,Medium
S07800,2026-03-12,IoT,MQTT,66,2,Mixed,86.0,2,21,75.0,4,87.3,Medium
S08524,2026-07-09,Python,Variables,31,2,Practice,76.4,2,10,68.7,2,89.9,Medium
S06755,2026-05-08,Python,Loops,24,5,Flashcards,51.6,1,14,39.8,2,77.1,Medium
S06953,2026-03-03,Python,Variables,55,1,Mixed,83.3,0,5,70.7,3,84.9,Medium
S08941,2026-08-25,C,Strings,47,1,Mixed,84.3,1,5,81.9,2,97.2,Low
S03106,2026-05-17,Python,Functions,54,1,Practice,87.9,4,1,99.0,3,100.0,Low
S08503,2026-05-29,Agile,Planning,20,1,Reading,82.3,1,1,90.2,3,100.0,Low
S04950,2026-06-06,DBMS,ER Model,50,3,Video,57.6,2,14,56.0,4,97.2,Low
S02615,2026-02-18,Deep Learning,RNN,34,1,Practice,83.2,4,1,92.7,2,100.0,Low
S09550,2026-05-28,C,Structures,29,5,Practice,54.7,0,3,36.9,1,67.5,High
S09995,2026-06-27,Deep Learning,Neural Networks,42,5,Practice,65.6,1,7,56.8,4,86.6,Medium
S04350,2026-05-13,Python,Variables,41,4,Practice,57.6,2,7,50.4,3,87.6,Medium
S08367,2026-02-28,DBMS,ER Model,53,1,Reading,89.0,0,5,84.4,3,94.8,Low
S04953,2026-01-28,Deep Learning,CNN,59,2,Mixed,73.0,0,10,55.7,3,76.4,Medium
S08338,2026-05-06,C,Arrays,33,2,Practice,70.9,2,3,75.2,3,100.0,Low
S03580,2026-08-19,Agile,Retrospective,37,4,Mixed,64.3,0,7,54.1,4,84.2,Medium
S05365,2026-05-02,DBMS,Transactions,15,2,Mixed,72.5,2,10,68.2,4,94.1,Low
S00737,2026-07-22,C,Arrays,30,4,Flashcards,59.1,1,7,56.8,3,96.0,Low
S06281,2026-03-20,Python,Loops,25,5,Mixed,55.1,1,5,53.0,5,96.2,Low
S09425,2026-01-10,IoT,Actuators,15,3,Video,64.5,4,5,66.5,4,100.0,Low
S07458,2026-04-03,Agile,Retrospective,32,4,Flashcards,70.0,0,1,60.7,1,86.7,Medium
S00756,2026-08-23,Deep Learning,Backpropagation,48,4,Practice,74.6,1,1,71.2,4,95.5,Low
S01743,2026-02-28,C,Strings,61,5,Flashcards,77.4,0,3,67.6,4,87.4,Medium
S09434,2026-08-11,DBMS,Normalization,50,2,Video,62.1,2,10,55.6,4,89.6,Medium
S07193,2026-07-22,Python,Variables,55,2,Mixed,65.2,1,5,65.2,4,100.0,Low
S06708,2026-07-22,C,Arrays,46,1,Reading,78.1,0,14,69.7,4,89.2,Medium
S05965,2026-04-23,IoT,Architecture,56,1,Mixed,89.7,2,3,92.2,4,100.0,Low
S06976,2026-01-27,C,Functions,81,4,Flashcards,59.7,1,10,50.1,3,83.9,Medium
S04341,2026-07-12,C,Arrays,48,5,Flashcards,66.0,2,21,40.1,4,60.8,High
S06913,2026-08-25,Agile,Development,60,2,Mixed,83.1,3,21,70.3,3,84.6,Medium
S09123,2026-02-21,IoT,Architecture,28,5,Practice,60.2,1,3,54.1,2,89.8,Medium
S03914,2026-01-17,Python,Variables,33,1,Flashcards,74.4,2,5,76.0,5,100.0,Low
S02183,2026-03-16,Deep Learning,Backpropagation,37,2,Reading,83.7,1,10,74.3,3,88.7,Medium
S01095,2026-06-03,Agile,Retrospective,86,1,Flashcards,90.8,1,2,95.9,2,100.0,Low
S05205,2026-05-06,Deep Learning,Regularization,42,1,Practice,82.1,0,21,67.1,2,81.8,Medium
S07888,2026-06-23,Deep Learning,Neural Networks,52,1,Reading,91.2,1,3,95.8,5,100.0,Low
S00759,2026-06-14,Python,Variables,47,5,Reading,61.5,1,2,59.3,3,96.4,Low
S08684,2026-08-07,Agile,Development,32,3,Practice,62.7,2,10,56.2,3,89.7,Medium
S04119,2026-08-01,Agile,Development,54,2,Reading,67.7,0,5,62.5,2,92.4,Low
S05496,2026-07-06,IoT,Sensors,66,4,Mixed,54.9,2,5,50.3,3,91.7,Low
S06512,2026-05-03,Python,Lists,37,2,Reading,63.3,0,10,55.6,3,87.9,Medium
S06225,2026-08-20,Deep Learning,CNN,54,2,Reading,79.2,2,1,85.0,3,100.0,Low
S02899,2026-05-08,Deep Learning,RNN,15,3,Video,71.9,2,3,70.5,3,98.1,Low
S07522,2026-02-10,DBMS,ER Model,37,2,Practice,62.0,2,7,59.4,4,95.8,Low
S05460,2026-08-14,DBMS,SQL,70,1,Video,95.6,1,5,99.0,2,100.0,Low
S08432,2026-03-07,IoT,Protocols,63,2,Practice,67.0,2,5,70.4,1,100.0,Low
S09561,2026-01-29,DBMS,Indexes,55,1,Mixed,77.1,1,7,78.6,5,100.0,Low
S08331,2026-08-17,Deep Learning,RNN,62,2,Practice,79.2,2,3,81.7,4,100.0,Low
S09890,2026-06-16,Agile,Testing,49,4,Mixed,78.1,2,3,78.4,4,100.0,Low
S01946,2026-07-25,Agile,Retrospective,82,2,Video,84.0,1,7,82.2,5,97.9,Low
S03412,2026-06-29,C,Structures,53,1,Video,98.0,1,3,99.0,4,100.0,Low
S07609,2026-07-03,DBMS,ER Model,50,3,Video,80.2,0,7,60.4,2,75.3,Medium
S00094,2026-02-08,Python,Lists,56,2,Practice,78.8,2,1,90.3,5,100.0,Low
S07459,2026-01-21,DBMS,SQL,60,2,Reading,66.9,0,3,62.4,2,93.3,Low
S08425,2026-03-30,Deep Learning,CNN,26,1,Video,64.5,0,7,52.8,3,81.8,Medium
S01721,2026-02-19,IoT,Sensors,88,1,Practice,93.6,2,1,98.4,2,100.0,Low
S09918,2026-08-20,Python,Loops,57,1,Practice,80.1,3,5,87.8,5,100.0,Low
S01231,2026-05-04,IoT,Sensors,54,2,Mixed,68.5,0,7,58.0,4,84.6,Medium
S01972,2026-02-10,Python,Variables,43,3,Mixed,73.6,2,3,76.6,4,100.0,Low
S03860,2026-06-02,DBMS,Transactions,51,2,Practice,69.6,0,7,66.8,4,96.0,Low
S06027,2026-07-07,Python,Dictionaries,36,4,Reading,65.3,0,5,55.6,4,85.2,Medium
S06513,2026-06-29,C,Functions,55,2,Reading,83.2,0,10,66.6,4,80.0,Medium
S08675,2026-03-09,Agile,Requirements,56,5,Mixed,76.8,2,1,75.7,4,98.6,Low
